Case,full,melody,lyrics,CourtDecision
0,70,30,50,1
1,45,80,90,0
2,70,30,50,1
3,70,95,65,0
4,85,90,,0
5,60,40,,0
6,50,35,100,0
7,60,35,0,1
8,25,45,5,1
9,45,40,,1
10,55,40,95,0
11,40,45,100,0
12,50,50,0,1
13,65,45,10,1
14,65,80,100,0
15,55,45,10,1
16,75,85,10,1
